_id,Country,CancerSiteICD10Code,CancerSite,Sex,SexQF,Year,IncidencesAgeUnder5,IncidencesAge5To9,IncidencesAge10To14,IncidencesAge15To19,IncidencesAge20To24,IncidencesAge25To29,IncidencesAge30To34,IncidencesAge35To39,IncidencesAge40To44,IncidencesAge45To49,IncidencesAge50To54,IncidencesAge55To59,IncidencesAge60To64,IncidencesAge65To69,IncidencesAge70To74,IncidencesAge75To79,IncidencesAge80To84,IncidencesAge85To89,IncidencesAge90AndOver,IncidencesAllAges,IncidenceRateAgeUnder5,IncidenceRateAge5To9,IncidenceRateAge10To14,IncidenceRateAge15To19,IncidenceRateAge20To24,IncidenceRateAge25To29,IncidenceRateAge30To34,IncidenceRateAge35To39,IncidenceRateAge40To44,IncidenceRateAge45To49,IncidenceRateAge50To54,IncidenceRateAge55To59,IncidenceRateAge60To64,IncidenceRateAge65To69,IncidenceRateAge70To74,IncidenceRateAge75To79,IncidenceRateAge80To84,IncidenceRateAge85To89,IncidenceRateAge90AndOver,CrudeRate,CrudeRateLower95pcConfidenceInterval,CrudeRateUpper95pcConfidenceInterval,EASR,EASRLower95pcConfidenceInterval,EASRLower95pcConfidenceIntervalQF,EASRUpper95pcConfidenceInterval,EASRUpper95pcConfidenceIntervalQF,WASR,WASRLower95pcConfidenceInterval,WASRLower95pcConfidenceIntervalQF,WASRUpper95pcConfidenceInterval,WASRUpper95pcConfidenceIntervalQF,StandardisedIncidenceRatio,StandardisedIncidenceRatioQF
11,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2004,51,41,46,55,99,157,257,448,710,1062,1680,2425,3145,3905,4104,4015,3278,1552,811,27841,19.33832591,14.04051888,14.42481067,17.0516199,29.98945825,53.21204151,74.51521618,112.8981044,177.8949267,293.3037268,508.4992009,728.6658654,1162.214897,1596.040349,1949.717804,2426.055168,2722.229604,2872.797275,2688.546329,547.5876719,541.174124,554.0582614,651.21676,643.2211486, ,659.2610769, ,298.284489,294.4607668, ,302.1325369, ,100, 
12,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2005,54,22,36,60,119,156,248,512,755,1026,1532,2542,2972,3778,4217,4029,3114,1580,772,27524,20.3394427,7.636873603,11.41205113,18.5880516,35.45180193,51.51949484,74.2372719,131.2702706,185.9395241,276.6512792,461.6418419,744.8385792,1086.841249,1536.771884,1993.259691,2408.277445,2633.270193,2689.315927,2522.051617,538.6090564,532.2645519,545.0103142,631.151943,623.4172127, ,638.9337007, ,290.1434309,286.4029147, ,293.9078797, ,100, 
13,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2006,51,21,26,60,113,155,266,446,705,1107,1622,2445,3085,3854,4258,4064,3232,1737,816,28063,19.03787791,7.415882702,8.376396603,18.45892581,33.38977091,49.65513706,82.67211184,115.3975523,172.9318697,292.305783,481.901938,705.8762393,1099.633574,1577.381318,2001.184355,2410.195888,2734.811305,2747.244057,2662.490211,546.7173193,540.3392698,553.1518689,640.0754408,632.3036037, ,647.894093, ,291.8781103,288.1545902, ,295.6252033, ,100, 
14,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2007,54,31,21,67,101,175,287,446,747,1156,1712,2403,3461,4042,4121,4244,3167,1862,820,28917,19.68597229,11.19004303,6.842463678,20.34798084,29.56856247,53.59319397,92.11028843,117.4364106,182.5825532,298.6717375,496.1772327,721.5739501,1143.221434,1645.805679,1926.871464,2473.121413,2678.201453,2784.923721,2747.160709,559.3230174,552.894706,565.8074229,646.2459193,638.5276598, ,654.0099054, ,297.4249151,293.689438, ,301.183672, ,100, 
15,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2008,61,38,31,59,115,203,259,487,834,1184,1719,2443,3652,4044,4396,4269,3219,2035,764,29812,21.62537756,13.95940019,10.20448471,17.92621085,33.17132267,60.33048027,84.4950037,131.6664594,204.5230493,299.5883191,487.3471193,745.5444336,1159.471824,1621.472075,2026.768466,2459.8382,2700.140921,2925.489858,2622.185612,572.9881412,566.5021005,579.5299196,655.1880172,647.4831972, ,662.9377787, ,303.2325434,299.4768025, ,307.0113646, ,100, 
16,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2009,51,23,32,67,118,205,245,419,802,1207,1822,2559,3758,4220,4548,4326,3299,2094,805,30600,17.73876023,8.5316636,10.66172673,20.16122965,33.83988001,60.29872873,79.17195826,117.195913,198.5015853,300.5433186,504.5330439,784.836914,1162.344732,1661.371537,2070.481974,2475.12573,2730.101458,2899.47383,2768.987342,584.8735641,578.3385474,591.4640081,662.6769154,654.9919643, ,670.4060677, ,305.7346152,302.0051534, ,309.4866473, ,100, 
17,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2010,44,17,32,56,133,208,290,427,812,1222,1830,2511,3804,4137,4574,4191,3420,2011,878,30597,15.12443283,6.30568476,10.82174223,16.8763147,37.60004297,60.65890738,91.91292993,123.0849055,204.6711399,299.1754314,495.795223,767.2563938,1148.155526,1609.834114,2068.822029,2366.459627,2777.41684,2813.335012,2707.369719,581.4488237,574.9517553,588.0010002,651.8878253,644.3737871, ,659.4448183, ,301.6756368,297.9944887, ,305.37907, ,100, 
18,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2011,52,31,33,61,119,211,256,385,797,1250,1843,2495,3841,4308,4658,4448,3554,2023,938,31303,17.71201624,11.44333702,11.36888234,18.66408021,32.55101483,60.92120953,79.06456734,114.5489005,202.4569176,304.3072871,488.4487049,751.678095,1141.58169,1629.269363,2113.746614,2482.918769,2834.221187,2814.608696,2667.121613,590.6337855,584.1087281,597.213558,658.1143818,650.644785, ,665.6260215, ,302.9104899,299.2439128, ,306.599085, ,100, 
19,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2012,54,32,32,58,108,198,279,406,739,1243,1949,2587,3723,4639,4551,4367,3513,2151,983,31612,18.25619527,11.61115687,11.36452422,18.18546668,29.08409342,57.00597699,83.79963777,126.091264,191.7135141,302.974168,506.6193233,762.4610959,1153.978483,1623.475476,2054.22875,2418.06433,2731.152868,2974.198722,2663.595719,594.926227,588.3858618,601.5211657,652.7150123,645.3564482, ,660.1147145, ,301.8306221,298.1842566, ,305.498841, ,100, 
20,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2013,57,23,30,65,95,214,311,386,745,1292,1942,2693,3586,4814,4638,4496,3556,2287,993,32223,19.38491989,8.135919377,10.90385706,20.73371845,25.656468,60.78250373,91.28024208,122.8868868,199.0509677,316.8087647,494.8577602,777.3755708,1130.128676,1618.793337,2062.066513,2449.562228,2728.563207,3131.246748,2634.651101,604.8200912,598.2341266,611.4604839,656.8284555,649.5089858, ,664.1883699, ,303.3562159,299.7155646, ,307.0185419, ,100, 
21,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2014,59,43,26,66,128,212,297,406,767,1315,1950,2643,3511,4891,4833,4677,3685,2236,1080,32825,20.21537945,14.89327067,9.562374264,21.40973364,34.73154954,59.29108005,86.41709487,128.9064856,212.5313117,325.7546857,489.1692902,745.2354837,1111.744403,1600.578578,2104.644327,2508.931733,2782.329002,2988.146307,2730.582524,613.8267634,607.2041341,620.5036172,657.536294,650.2958402, ,664.8162788, ,304.297121,300.6542483, ,307.9616273, ,100, 
22,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2015,65,33,31,67,125,216,347,477,669,1239,1979,2605,3597,4887,4698,4551,3614,2290,1085,32575,22.32342173,11.28760826,11.39111199,22.04070622,33.99787853,59.35924987,99.74130497,148.9987099,191.2384764,313.0226518,488.2887195,717.9868805,1134.707474,1561.566359,2022.158519,2426.307119,2690.169047,3012.682208,2726.473175,606.2721012,599.705995,612.8921761,644.2969381,637.18045, ,651.4524005, ,299.688394,296.0751877, ,303.3232112, ,100, 
23,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2016,64,40,38,50,120,206,354,459,717,1202,2117,2616,3507,4856,4783,4489,3582,2255,1036,32491,22.2811745,13.3841037,13.84950688,16.74144512,32.97002201,55.06195807,100.5930443,140.0444847,212.3576138,306.4364399,520.5426233,705.4616648,1090.647858,1529.333216,2001.096147,2402.5133,2625.7532,2891.841289,2522.706796,601.1619516,594.6428016,607.7347538,633.6037626,626.6092217, ,640.6365888, ,296.2148251,292.6340584, ,299.8170657, ,100, 
24,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2017,57,34,43,66,98,169,343,411,619,1136,2050,2813,3486,4831,5098,4613,3594,2248,1081,32790,20.20517111,11.26010512,15.35182455,22.755482,27.48107872,44.21213453,96.59794976,121.2199863,190.4422013,295.0112966,503.6248707,742.4396784,1059.539043,1583.591747,1964.320117,2450.308612,2606.368706,2806.807257,2590.772918,604.4462469,597.9213545,611.0245921,630.4931476,623.574629, ,637.4493073, ,292.2130831,288.6893859, ,295.7578596, ,100, 
25,S92000003,"C00-C97, excluding C44",All cancer types,All,d,2018,46,38,33,55,100,210,330,505,687,1202,2032,2909,3794,4838,5460,4810,3781,2143,985,33958,16.61477559,12.62085297,11.46669446,19.32781378,28.52058045,54.92493592,91.34745805,145.1161935,216.3629607,321.143935,502.1164505,752.3405576,1128.139254,1610.449614,2015.02039,2516.980461,2695.74641,2631.094304,2349.32144,624.4460381,617.8218839,631.1235128,642.4296435,635.5159508, ,649.3802226, ,301.0768441,297.5033667, ,304.6713604, ,100, 
26,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,1994,42,13,19,29,58,79,118,132,218,364,580,932,1531,2061,2384,1826,1404,644,176,12610,25.54340554,7.800312012,11.58529521,18.69532423,31.12255849,39.25329305,59.3134717,73.48193013,131.2478176,213.6664338,411.6803657,704.1455436,1250.18373,1892.023391,2606.774991,3529.457244,4059.446019,4617.480462,4269.771955,513.9927495,505.0602803,523.043548,779.3597935,764.5852169, ,794.273797, ,326.7991326,320.8907072, ,332.7607107, ,100, 
27,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,1995,36,18,18,23,55,93,103,140,181,335,577,981,1545,2057,2377,1794,1403,661,171,12568,22.15207399,10.83808503,11.01705808,14.75825339,30.84671426,47.24313451,51.49742513,75.94456047,108.8479556,192.0243957,405.3076334,738.2267507,1264.517396,1887.935386,2648.261417,3261.818182,3996.012532,4526.467164,3865.280289,512.2785021,503.3610255,521.3143081,762.9309328,748.6189203, ,777.3765826, ,322.4482329,316.6018046, ,328.3474079, ,100, 
28,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,1996,35,8,15,37,57,98,119,167,196,429,656,1060,1517,2173,2514,2018,1454,651,205,13409,22.08048653,4.828760095,9.230371615,23.52088591,33.63625634,50.70469174,59.94539428,89.23848049,116.554275,243.1063208,448.7280339,805.0306823,1243.564941,2003.651385,2814.410138,3481.771597,4185.256613,4325.581395,4432.432432,547.9726361,538.736513,557.3273835,805.9342789,791.3251393, ,820.6751904, ,341.6335559,335.6277348, ,347.6918985, ,100, 
29,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,1997,31,22,26,23,60,78,110,157,170,364,635,968,1414,2093,2244,2051,1323,638,202,12609,20.01316996,13.26044109,15.92376193,14.42594161,37.47096001,41.9061946,55.63704416,82.54555779,99.08780929,215.6474756,403.7026206,732.9835003,1159.082898,1921.24105,2536.453035,3349.391688,3901.734104,4104.741684,4176.142237,516.2709913,507.2985752,525.3622706,752.3784747,738.3694134, ,766.5173621, ,317.8294496,312.0540882, ,323.6570322, ,100, 
30,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,1998,31,13,23,30,49,80,118,144,187,336,640,991,1436,2030,2294,2073,1205,605,196,12481,20.4057452,7.926635936,13.91030875,18.60557423,31.94659052,44.92211628,60.34138908,74.82812914,107.1001071,202.6415777,391.3248179,741.1839497,1161.737104,1860.43954,2584.002613,3238.910676,3709.290156,3742.422368,3768.506057,511.7280056,502.789254,520.7857845,731.6071281,718.0183941, ,745.3214796, ,311.8676876,306.1700694, ,317.6171048, ,100, 
31,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,1999,36,17,20,25,35,84,114,143,187,300,641,980,1494,1948,2280,2075,1148,709,192,12428,24.176326,10.44514761,12.02993047,15.56381475,22.94690741,49.71620334,59.17129051,73.67336425,105.0095744,182.0476722,382.5449684,719.1129961,1198.171465,1788.107433,2557.774288,3110.804611,3637.861647,4302.445537,3475.742216,510.0686015,501.139941,519.1164101,723.0762532,709.6732768, ,736.6028756, ,307.8254446,302.1794828, ,313.5229401, ,100, 
32,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2000,27,22,12,24,53,85,118,147,216,343,649,962,1499,1866,2292,2086,1273,660,206,12540,18.56231438,13.7342914,7.243052705,14.92880825,34.42005455,53.01763928,63.05338698,75.25841282,118.8936287,208.0187278,378.2514177,698.2550881,1196.042448,1705.542556,2556.437941,3168.719904,3712.019595,3953.042645,3465.679677,515.6406897,506.654714,524.7460378,719.1548267,705.9662568, ,732.4637591, ,306.8570858,301.2390388, ,312.5263183, ,100, 
33,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2001,29,16,22,27,57,73,99,139,217,328,678,1052,1474,2030,2299,2052,1301,637,229,12759,20.45537906,10.23312334,13.27388243,16.75634414,36.14251565,47.67471477,53.7511809,71.3955519,117.5782139,196.1429212,389.7940646,740.9546482,1182.776717,1841.186341,2547.650709,3099.97885,3518.783977,3818.715904,3596.670331,524.2563584,515.1986467,533.4333507,718.9965011,705.9709685, ,732.1394514, ,309.2262789,303.599496, ,314.9040104, ,100, 
34,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2002,30,22,25,34,42,74,116,155,235,338,621,1052,1593,2066,2291,2177,1434,612,244,13161,21.72889581,14.29118948,15.12786068,21.02490214,25.99218997,50.1039318,65.17403152,79.90514486,124.7365935,197.9536976,371.9030537,686.8903195,1272.943752,1864.503145,2508.458245,3284.352182,3633.875627,3685.636856,3751.537515,540.3519,531.1591774,549.6638046,730.8938229,717.8604733, ,744.0428011, ,314.0707902,308.416927, ,319.7752954, ,100, 
35,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2003,35,30,24,42,46,64,109,131,218,370,606,1078,1552,2034,2406,2126,1487,682,250,13290,25.82111134,19.77782905,14.70831571,25.74807349,28.01256912,44.42624203,63.1550892,67.91365116,113.9881201,212.9839629,369.4063287,675.5613489,1224.979478,1808.353634,2608.97853,3174.129205,3608.697762,4268.636164,3750.937734,545.0992745,535.8707133,554.446896,732.5959562,719.5704734, ,745.7366568, ,313.2830763,307.6482161, ,318.9683647, ,100, 
36,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2004,23,23,22,20,43,52,93,140,224,368,709,1152,1611,2156,2312,2140,1576,664,279,13607,17.0544705,15.34765781,13.54804939,12.22292164,26.17211513,35.73391974,55.98194131,73.12270512,115.5556473,207.5987928,434.5241378,702.4090435,1242.31745,1891.327614,2489.608683,3154.341642,3652.036891,4181.623528,4121.1226,556.1588864,546.8529505,565.5834643,738.7327808,725.7187042, ,751.8609087, ,314.6572834,309.0857559, ,320.2778896, ,100, 
37,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2005,32,12,22,34,67,67,96,172,266,325,612,1205,1555,2039,2307,2144,1493,643,239,13330,23.57100766,8.10476763,13.68482602,20.7627248,40.31505918,44.61194268,59.5470701,91.47281875,135.0562311,179.1344225,374.1837658,715.7622125,1182.383625,1776.132404,2452.846237,3113.3829,3471.770068,3620.495495,3403.104087,541.589437,532.434007,550.8628053,704.5396106,692.1060248, ,717.0823543, ,304.7091238,299.234749, ,310.232434, ,100, 
38,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2006,27,10,13,25,53,73,90,135,213,364,631,1178,1656,2060,2404,2208,1560,780,278,13758,19.6768622,6.890706504,8.210180624,15.15904874,31.62517603,47.06853307,57.64833236,72.43693962,107.7531694,196.8748817,380.7765186,690.342241,1219.521176,1803.600196,2525.68763,3154.916698,3576.505113,4001.436413,3918.804624,555.864414,546.6143751,565.2317287,722.510606,709.9592237, ,735.1704426, ,306.9155766,301.4975014, ,312.3812338, ,100, 
39,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2007,27,15,11,31,44,65,98,130,230,383,660,1174,1805,2128,2274,2276,1552,794,266,13963,19.1867654,10.58118947,6.999147377,18.56476408,26.00380601,40.17628116,64.32936636,71.1113056,115.9040516,202.4366394,389.0683581,716.0195655,1226.006276,1846.965699,2364.51358,3176.153728,3500.146591,3792.872838,3797.829812,559.2898065,550.0510578,568.6448188,714.9276031,702.5978789, ,727.3630881, ,306.2491137,300.8861125, ,311.6588325, ,100, 
40,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2008,32,19,12,26,55,90,82,168,272,395,664,1167,1891,2196,2454,2213,1617,861,259,14473,22.11594283,13.65629268,7.695612859,15.63091796,31.93163147,54.06347051,54.53106608,94.04072859,137.470939,204.6303443,383.7950627,724.0891492,1229.646777,1873.624217,2503.008915,3027.525446,3568.118628,3902.99184,3754.167271,575.3990183,566.0624505,584.8509777,724.6745859,712.3898477, ,737.0628874, ,313.5005499,308.0955961, ,318.9518514, ,100, 
41,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2009,30,10,17,40,56,83,97,146,234,378,707,1233,1958,2315,2535,2343,1591,879,275,14927,20.37960409,7.251368696,11.02535832,23.78404091,32.32584451,49.52917447,63.69343104,84.23822107,119.187083,193.0107637,399.8823543,769.5188167,1239.499389,1929.954732,2539.927459,3155.853077,3425.704627,3755.126452,3906.25,589.5411832,580.1211545,599.0758387,732.9246913,720.6972152, ,745.253599, ,317.1491393,311.7658619, ,322.5778582, ,100, 
42,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2010,23,11,14,30,56,85,107,135,254,405,706,1205,1925,2191,2496,2216,1682,904,296,14741,15.50408499,7.981598787,9.206528744,17.83548548,31.8364516,50.44270895,68.73426178,80.06832497,132.0152597,203.4552223,390.6595839,751.1860011,1186.279826,1797.714089,2475.355535,2916.672151,3529.535201,3796.405174,3665.634675,578.4826887,569.1814593,587.897816,709.6934887,697.8706139, ,721.6142962, ,306.8321371,301.5849371, ,312.1239649, ,100, 
43,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2011,31,19,17,30,56,77,94,135,256,418,687,1213,1944,2334,2604,2434,1795,892,326,15362,20.70172158,13.70920609,11.42734227,18.03198875,30.75317829,45.18991502,58.88101025,82.0823377,134.1205933,208.7828658,371.9605624,745.2691079,1180.844085,1846.299885,2586.823492,3145.190469,3649.709243,3662.191567,3601.414052,597.6734233,588.2591009,607.2006588,725.7576213,713.9833578, ,737.6268432, ,312.311017,307.0529641, ,317.6130906, ,100, 
44,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2012,33,13,15,28,48,73,112,135,224,393,773,1214,1909,2548,2473,2287,1710,925,382,15295,21.85618629,9.210973812,10.41175001,17.17138266,25.98161801,42.71778757,68.58206579,85.36361739,120.3033363,196.9539789,410.6328953,730.405694,1209.85886,1855.114671,2433.360557,2916.831405,3358.604706,3725.93249,3880.536367,593.4528128,584.0846005,602.9336327,707.7240131,696.2342832, ,719.3064719, ,307.0678189,301.8824783, ,312.2967032, ,100, 
45,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2013,26,12,17,30,43,92,96,126,258,436,730,1249,1875,2671,2544,2334,1791,1048,386,15764,17.31036824,8.296976444,12.08828716,18.67088214,23.31432041,52.88541685,57.48158793,81.68981211,142.2710429,220.1497624,380.4837877,737.4605143,1209.622791,1860.027855,2460.538533,2909.136233,3427.357624,4114.160091,3741.760372,609.4298483,599.9530554,619.0188353,716.0636568,704.6391683, ,727.5787438, ,310.0481454,304.8748426, ,315.2643691, ,100, 
46,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2014,35,28,11,43,59,89,107,142,250,451,732,1215,1868,2753,2735,2476,1808,1004,391,16197,23.4367676,19.00534186,7.911449306,27.20485891,32.15661909,50.3003894,63.73258522,91.74726858,142.6289366,230.2688683,376.5064114,702.1295039,1212.097617,1864.696081,2575.644853,3020.91213,3371.750401,3777.418263,3558.751251,623.7940636,614.2239416,633.4759501,719.2030052,707.9229544, ,730.5709805, ,314.6560139,309.4285732, ,319.9266351, ,100, 
47,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2015,29,17,21,32,58,81,119,142,193,454,702,1210,1902,2664,2606,2434,1830,978,409,15881,19.42606039,11.4175185,15.0906517,20.54350408,31.6661298,44.80261957,70,90.17876989,113.422661,236.9952758,355.944063,683.3417104,1233.087191,1758.566742,2414.706918,2943.061316,3326.06325,3605.397036,3580.495492,608.358115,598.9327652,617.8946353,695.0740276,684.0713955, ,706.163223, ,302.9897752,297.9017617, ,308.1202755, ,100, 
48,S92000003,"C00-C97, excluding C44",All cancer types,Male, ,2016,34,27,18,18,56,83,132,163,232,413,796,1214,1784,2673,2686,2379,1790,1038,397,15933,23.04662875,17.72909936,12.82224803,11.79446184,30.8220686,44.58793762,76.60833986,101.0739886,140.6665899,218.0316964,403.1829164,671.6942297,1140.621204,1741.742524,2401.022625,2883.112161,3184.996708,3669.530173,3303.653158,606.3932182,597.0135951,615.8832907,684.3656124,673.5757205, ,695.2400523, ,300.4524465,295.3963036, ,305.5509005, ,100, 
